year,ncaa_id,first_name,last_name,transfer_date,update_date,division,institution,sport,multi_sport,conference,status,notes
2023-24,1911741368,BREANNA,RICE,08/02/2023,08/02/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Active,
2023-24,2210700121,ISABELA,GALLARDO,08/02/2023,08/02/2023,II,Belmont Abbey College,Softball,,Conference Carolinas,Active,
2023-24,1809310538,BRENAY,HOWARD,08/03/2023,08/03/2023,II,Claflin University,Softball,,Central Intercollegiate Athletic Association,Active,
2023-24,2207624010,JENNA,BONEYSTEELE,08/07/2023,08/07/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Active,
2023-24,2206588104,CECELIA,HOGEL,08/14/2023,08/14/2023,II,Coker University,Softball,,South Atlantic Conference,Active,
2023-24,2008901366,BREONNA,MARIETTA,08/03/2023,08/22/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,2008904986,LAWSON,GERLAND,08/04/2023,08/22/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,2104141969,AMBER,CORLEY,08/18/2023,08/22/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,1907640967,GRACE,SOBECK,08/07/2023,08/22/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,1904537472,BRIANNA,SERSEVIC,08/08/2023,08/23/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,2108303946,MALEAH,MURPHY,08/24/2023,08/24/2023,II,Kentucky State University,Softball,,Southern Intercol. Ath. Conf.,Active,
2023-24,2006881069,MEGAN,ASHER,08/03/2023,08/24/2023,III,DePauw University,Softball,,North Coast Athletic Conference,Matriculated,
2023-24,1711955556,KATHRYN,VERMEULEN,08/25/2023,08/25/2023,III,Grinnell College,Softball,,Midwest Conference,Active,
2023-24,1606511333,SAMANTHA,GOODCASE,08/25/2023,08/25/2023,I,Yale University,Softball,,The Ivy League,Active,
2023-24,1801101141,MIRANDA,STODDARD,08/18/2023,08/25/2023,I,University of Kentucky,Softball,,Southeastern Conference,Matriculated,
2023-24,2110342320,MALIAH,LEE,08/27/2023,08/27/2023,II,Georgia College,Softball,,Peach Belt Conference,Active,
2023-24,2012973327,ALEXA,LEE,08/25/2023,08/28/2023,II,Caldwell University,Softball,,Central Atlantic Collegiate Conference,Active,
2023-24,1909695371,KAMARIA,KELLY,08/11/2023,08/28/2023,II,Alderson Broaddus University,Women's Acrobatics and Tumbling|Softball,,Sport not sponsored|Sport not sponsored,Active,
2023-24,1911734724,CORTNEY,FIZER,08/03/2023,08/28/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,2207603082,RYLEE,VERCANDE,08/13/2023,08/28/2023,I,University of Northern Iowa,Softball,,Missouri Valley Conference,Active,
2023-24,2104157262,ANGELINA,BORJA,08/17/2023,08/28/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Active,
2023-24,1809299315,MOLLY,CHAMBERS,08/29/2023,08/29/2023,I,Princeton University,Softball,,The Ivy League,Active,
2023-24,2204494210,FRANCHESCA,ALVARO,08/30/2023,09/01/2023,II,Alderson Broaddus University,Softball,,Sport not sponsored,Matriculated,
2023-24,1711964498,RYLEE,NISHIMOTO,08/30/2023,09/01/2023,II,Sonoma State University,Softball,,California Collegiate Athletic Association,Active,
2023-24,2306937356,GILLIAN,ZACK,08/29/2023,09/01/2023,III,Muhlenberg College,Softball,,Centennial Conference,Active,
2023-24,2101993632,GABRIELLA,GOSMAN,09/03/2023,09/08/2023,I,Norfolk State University,Softball,,Mid-Eastern Athletic Conf.,Active,
2023-24,1903467675,MORGAN,TESSER,09/07/2023,09/08/2023,II,Adelphi University,Softball,,Northeast-10 Conference,Active,
2023-24,2106183786,AVERY,CURRAN,08/05/2023,09/11/2023,II,"Pennsylvania Western University, California",Softball,,Pennsylvania State Athletic Conference,Matriculated,
2023-24,2101984126,MADISON,LESTER,08/02/2023,09/11/2023,II,"Pennsylvania Western University, California",Softball,,Pennsylvania State Athletic Conference,Matriculated,
2023-24,2309108194,LAUREN,HARRIS,09/12/2023,09/12/2023,III,Grove City College,Softball,,Presidents' Athletic Conference,Active,
2023-24,1711956779,ELIZABETH,VERMEULEN,09/13/2023,09/13/2023,III,Grinnell College,Softball,,Midwest Conference,Active,
2023-24,2308993164,ABIGAIL,ORSO,08/28/2023,09/14/2023,III,Colby College,Softball,,New England Small College Athletic Conference,Active,
2023-24,1904505372,ERIN,MURPHY,08/10/2023,09/15/2023,II,University of Mary,Softball,,Northern Sun Intercollegiate Conference,Matriculated,
2023-24,2111365503,AVERY,SICKERI,09/15/2023,09/15/2023,II,West Chester University of Pennsylvania,Softball,,Pennsylvania State Athletic Conference,Active,
2023-24,2007896106,AUBRIE,HENDERSON,08/07/2023,09/21/2023,III,McMurry University,Softball,,American Southwest Conference,Active,
2023-24,2109319948,MARISSA,METZ,09/21/2023,09/21/2023,I,Georgia State University,Softball,,Sun Belt Conference,Active,
2023-24,2109313952,KATRINA,DAVIS,09/25/2023,09/25/2023,II,Kutztown University of Pennsylvania,Softball,,Pennsylvania State Athletic Conference,Active,
2023-24,2109319903,KAILEE,RICHMOND,09/26/2023,09/27/2023,II,Lincoln University (Pennsylvania),Softball,,Central Intercollegiate Athletic Association,Active,
2023-24,2206590393,MIRALBA,SANDEZ,09/26/2023,09/27/2023,II,Virginia Union University,Softball,,Central Intercollegiate Athletic Association,Active,
2023-24,2310126356,EMILY,BINDER,10/04/2023,10/04/2023,II,Kutztown University of Pennsylvania,Softball,,Pennsylvania State Athletic Conference,Active,
2023-24,2305910318,AMAYIA,HERNANDEZ,10/04/2023,10/04/2023,II,Rollins College,Softball,,Sunshine State Conference,Active,
2023-24,2111365946,KAITLYN,JAGIELSKI,10/05/2023,10/05/2023,II,Goldey-Beacom College,Softball,,Central Atlantic Collegiate Conference,Active,
2023-24,2108289038,AUBREY,MARX,10/06/2023,10/06/2023,I,Oregon State University,Softball,,Pac-12 Conference,Active,
2023-24,1810318306,MEREDITH,PAVLIK,08/11/2023,10/06/2023,III,Susquehanna University,Softball,,Landmark Conference,Matriculated,
2023-24,1910712615,MEKIELA,SIBLEY,10/09/2023,10/09/2023,II,New Mexico Highlands University,Softball,,Rocky Mountain Athletic Conference,Active,
2023-24,2107242966,KRISTAL,TORRES,10/12/2023,10/12/2023,II,East Stroudsburg University of Pennsylvania,Softball,,Pennsylvania State Athletic Conference,Active,
2023-24,1911732804,SARA,FREDERICKSON,10/12/2023,10/13/2023,III,Baldwin Wallace University,Softball,,Ohio Athletic Conference,Active,
2023-24,1905579722,KATHERINE,CHAPPLE,10/16/2023,10/16/2023,II,Frostburg State University,Softball,,Mountain East Conference,Active,
2023-24,2310133909,ARABELLE,WALTON,10/18/2023,10/18/2023,III,Crown College (Minnesota),Softball,,Upper Midwest Athletic Conference,Active,
2023-24,2310138534,ASHLYN,RAPACZ,10/17/2023,10/18/2023,III,Aurora University,Softball,,Northern Athletics Collegiate Conference,Active,
2023-24,2205567356,ALEXIS,ADKINS,10/17/2023,10/18/2023,II,Concord University,Softball,,Mountain East Conference,Active,
2023-24,1909684878,GABRIELLA,PANEBIANCO,10/19/2023,10/19/2023,III,Alvernia University,Softball,,Middle Atlantic Conference Commonwealth,Active,
2023-24,2210684790,MADISON,STURTZ,10/19/2023,10/19/2023,II,East Stroudsburg University of Pennsylvania,Softball,,Pennsylvania State Athletic Conference,Active,
2023-24,2310140112,MADISON,LOURENCO,10/19/2023,10/19/2023,III,University of Redlands,Softball,,Southern California Intercollegiate Athletic Conf.,Active,
2023-24,2211731710,MARAH,WYRICK,10/20/2023,10/20/2023,II,Quincy University,Softball,,Great Lakes Valley Conference,Active,
2023-24,2209673591,MICHAELA,HARRISON,10/23/2023,10/24/2023,II,Lander University,Softball,,Peach Belt Conference,Active,
2023-24,1905578767,MADISON,PRIDE,10/26/2023,10/26/2023,II,North Greenville University,Softball,,Conference Carolinas,Active,
2023-24,2210706141,MADISON,HANDY,11/02/2023,11/02/2023,II,North Greenville University,Softball,,Conference Carolinas,Active,
2023-24,2311151886,SOPHIA,VILCHEZ,11/02/2023,11/02/2023,III,Eastern Connecticut State University,Softball,,Little East Conference,Active,
2023-24,1707853441,GRETCHEN,BUNOVSKY,11/02/2023,11/02/2023,I,Yale University,Softball,,The Ivy League,Active,
2023-24,1809278534,LAUREN,BOBOWSKI,11/08/2023,11/08/2023,I,Harvard University,Softball,,The Ivy League,Active,
2023-24,2007885008,PARIS,BALILONIS,11/08/2023,11/08/2023,II,Caldwell University,Softball,,Central Atlantic Collegiate Conference,Active,
2023-24,2307953601,HOPE,FICHER,11/07/2023,11/08/2023,II,The University of Texas Permian Basin,Softball,,Lone Star Conference,Active,
2023-24,2110345782,RILEE,IRBY,11/09/2023,11/09/2023,II,Lincoln University (Pennsylvania),Softball,,Central Intercollegiate Athletic Association,Active,
2023-24,2101991915,SOPHIA,CURRAO,11/14/2023,11/14/2023,II,Saint Anselm College,Softball,,Northeast-10 Conference,Active,
2023-24,2206592226,BRIDGETTE,MONTES,11/14/2023,11/14/2023,II,Texas A&M International University,Softball,,Lone Star Conference,Active,
2023-24,2210707756,ELAYNA,GOFF,11/15/2023,11/15/2023,II,Upper Iowa University,Softball,,Great Lakes Valley Conference,Active,
